index,content
百色市,"106.62458932565383,23.908185934295958"
贺州市,"111.57352631416218,24.409450902865487"
河池市,"108.64310866524227,24.491714255143005"
来宾市,"109.22745819590091,23.75654676260728"
崇左市,"107.3715202061015,22.383117234663302"
海口市,"110.2067198964201,20.052113086180366"
三亚市,"109.51855670139908,18.258736291747855"
三沙市,"112.34048204137058,16.838953334409123"
儋州市,"109.58745583568611,19.527146110044196"
成都市,"104.07274727406208,30.578993724029967"
自贡市,"104.78444884671711,29.345584921327575"
攀枝花市,"101.72554117091441,26.58803317333301"
泸州市,"105.4485240693266,28.87766830360723"
德阳市,"104.40441936496448,31.133115003656755"
绵阳市,"104.6855618607612,31.473663048745863"
广元市,"105.85042318166482,32.44161630531542"
遂宁市,"105.5994215306444,30.53909767110912"
内江市,"105.06458802499718,29.58588653832045"
乐山市,"103.7725376036347,29.55794071745811"
南充市,"106.11750261487227,30.843782508337036"
眉山市,"103.85656331579456,30.082526119421058"
宜宾市,"104.6494037048691,28.75800702855183"
广安市,"106.63955268233484,30.461746110678995"
达州市,"107.47459385897544,31.214307723927455"
雅安市,"103.04954262360451,30.01679254570607"
巴中市,"106.7515853031645,31.872888585956545"
资阳市,"104.6344353416441,30.13495655925314"
贵阳市,"106.63657676352776,26.653324822309752"
六盘水市,"104.8375546023468,26.598833108257494"
遵义市,"107.03792295677086,27.728325334416603"
安顺市,"105.95441712388904,26.25925237871499"
毕节市,"105.2985887950112,27.29021508342595"
铜仁市,"109.19643889817665,27.73778645640524"
昆明市,"102.83944512326053,24.886272111644136"
曲靖市,"103.80243482794681,25.496406931543667"
玉溪市,"102.55356029311,24.35771094244625"
保山市,"99.16801175601306,25.11785803166449"
昭通市,"103.72351177196889,27.34408386024681"
丽江市,"100.23246452903453,26.860657438064884"
普洱市,"100.97256981472799,22.830979186010275"
临沧市,"100.09544042014869,23.89046855627851"
拉萨市,"91.17845425628477,29.65948787983075"
日喀则市,"88.89370303482552,29.275657822511512"
昌都市,"97.17733324895293,31.148661810810207"
林芝市,"94.36805828713257,29.654042176951524"
山南市,"91.77867513851903,29.243026939249226"
那曲市,"92.0573384981749,31.482438388454657"
西安市,"108.94646555063274,34.34726881662395"
铜川市,"108.95240424835922,34.902637080502906"
宝鸡市,"107.2445753670404,34.36891564286998"
咸阳市,"108.71542245143303,34.335476293368586"
渭南市,"109.51658960525897,34.50571551675255"
延安市,"109.50118366576285,36.656089661066176"
汉中市,"107.02943020926463,33.073799907833795"
榆林市,"109.74161603381395,38.290883835484046"
安康市,"109.03560108265746,32.69051277057377"
商洛市,"109.92441788136406,33.87863385220776"
兰州市,"103.84052119633628,36.067234693545565"
嘉峪关市,"98.29620384300111,39.77796014739059"
金昌市,"102.19460568669837,38.52582009209263"
白银市,"104.1444508283435,36.55082533041454"
天水市,"105.73141674566955,34.58741188165064"
武威市,"102.64455434036918,37.93437780815811"
张掖市,"100.45641147405634,38.932066007004934"
平凉市,"106.67144234827796,35.549232050463516"
酒泉市,"98.50068521606795,39.73846908071564"
庆阳市,"107.6493856959542,35.71521598356201"
定西市,"104.63242008306302,35.586832926561875"
陇南市,"104.9668643447692,33.37603215910919"
西宁市,"101.78445017050855,36.62338469651661"
海东市,"102.41503557578936,36.48017021268231"
银川市,"106.23849358740017,38.492460055509596"
石嘴山市,"106.3906004255049,38.98968283991508"
吴忠市,"106.20537126663626,38.00371291345338"
固原市,"106.24857742607188,36.02161725801098"
中卫市,"105.20357090088713,37.50570141870293"
乌鲁木齐市,"87.62443993536046,43.830763204290484"
克拉玛依市,"84.89590053887504,45.58567523781376"
吐鲁番市,"89.1972972460079,42.95698484877124"
哈密市,"93.52121554028504,42.82582436811265"
